Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;geoLaengeame;Bundesland
5282;19410101;19710101;246;51.1197;13.6744;Wahnsdorf bei Dresden;Sachsen
5300;20040701;20240423;380;50.2596;8.3607;Waldems-Reinborn;Hessen
5335;20060801;20240423;352;50.8963;10.5483;Waltershausen;Thüringen
5347;20010402;20240423;236;51.5039;9.1118;Warburg;Nordrhein-Westfalen
5349;19810101;20240423;73;53.5196;12.6654;Waren (Müritz);Mecklenburg-Vorpommern
5371;19480101;20240423;920;50.4973;9.9427;Wasserkuppe;Hessen
5397;19510101;20240423;440;49.6662;12.1844;Weiden;Bayern
5404;19750101;20240423;477;48.4024;11.6946;Weihenstephan-Dürnast;Bayern
5419;19510101;20070630;264;50.9751;11.3076;Weimar;Thüringen
5424;20070601;20240423;328;51.0177;11.3544;Weimar-Schöndorf;Thüringen
5426;19540101;20240423;553;49.3758;8.1212;Weinbiet;Rheinland-Pfalz
5431;19730101;19761001;24;53.0333;11.8;Weisen bei Wittenberge;Sachsen-Anhalt
5433;20040901;20240423;380;49.5534;6.812;Weiskirchen/Saar;Saarland
5440;19550101;20240423;439;49.0115;10.9308;Weißenburg-Emetzheim;Bayern
5467;19560701;20120921;1832;47.7035;12.0119;Wendelstein;Bayern
5480;20030910;20240423;85;51.5763;7.8879;Werl;Nordrhein-Westfalen
5490;19510101;20240423;233;51.8454;10.7686;Wernigerode;Sachsen-Anhalt
5516;19960531;20240423;3;54.5283;11.0606;Fehmarn;Schleswig-Holstein
5538;20050101;20240423;551;47.8827;11.1576;Wielenbach (Demollstr.);Bayern
5541;20040801;20240423;263;50.1321;8.3169;Wiesbaden-Auringen;Hessen
5546;19860701;20240423;187;52.1206;12.4586;Wiesenburg;Brandenburg
5562;20040601;20240423;571;48.6516;8.6801;Neubulach-Oberhaugstett;Baden-Württemberg
5629;19510101;20240423;105;51.8891;12.6446;Wittenberg;Sachsen-Anhalt
5640;20020101;20240423;10;53.5503;7.6672;Wittmundhafen;Niedersachsen
5643;20041101;20240423;68;53.1864;12.4949;Wittstock-Rote Mühle;Brandenburg
5663;19820101;19960101;118;53.4618;13.6099;Woldegk;Mecklenburg-Vorpommern
5664;20040701;20240423;296;48.2953;8.2391;Wolfach;Baden-Württemberg
5665;19900101;20100501;677;47.818;9.797;Wolfegg;Baden-Württemberg
5676;20100901;20240102;82;52.3962;10.6892;Wolfsburg (Südwest);Niedersachsen
5688;20181101;20240423;881;47.7004;8.1057;Dachsberg-Wolpadingen;Baden-Württemberg
5692;20040901;20240423;88;49.6051;8.3659;Worms;Rheinland-Pfalz
5705;19480101;20240423;268;49.7704;9.9576;Würzburg;Bayern
5715;20020101;20240423;49;52.4626;9.4245;Wunstorf;Niedersachsen
5717;20060901;20240423;134;51.2256;7.1052;Wuppertal-Buchenhofen;Nordrhein-Westfalen
5719;20041001;20091210;235;51.2051;7.2;Remscheid;Nordrhein-Westfalen
5731;20040801;20240423;395;47.6783;8.3801;Wutöschingen-Ofteringen;Baden-Württemberg
5732;19510101;19710101;9;54.6928;8.5271;Wrixum/Föhr;Schleswig-Holstein
5745;19810101;20240423;51;52.9664;13.3268;Zehdenick;Brandenburg
5750;20060301;20240423;264;51.0314;12.1495;Zeitz;Sachsen-Anhalt
5779;19710101;20240423;877;50.7313;13.7516;Zinnwald-Georgenfeld;Sachsen
5792;19500101;20240423;2956;47.421;10.9848;Zugspitze;Bayern
5797;20051201;20240423;349;50.6879;12.4329;Lichtentanne;Sachsen
5800;20020101;20240423;615;49.028;13.2385;Zwiesel;Bayern
5802;19480101;20031001;615;49.0007;13.2137;Zwieselberg;Bayern
5822;20040701;20240423;42;52.863;8.6989;Bassum;Niedersachsen
5825;20040501;20240423;40;52.6198;12.7867;Berge;Brandenburg
5832;19510101;19541201;50;53.1007;11.0455;Dannenberg;Niedersachsen
5839;19970701;20240423;0;53.3881;7.2287;Emden;Niedersachsen
5856;19970103;20240423;476;48.5451;13.3532;Fürstenzell;Bayern
5871;19970701;20240423;497;49.9463;7.2645;Hahn;Rheinland-Pfalz
5906;19480101;20240423;98;49.5063;8.5584;Mannheim;Baden-Württemberg
5930;19910101;20240423;1;54.641;10.0238;Schönhagen (Ostseebad);Schleswig-Holstein
5941;20070301;20240423;686;47.6754;12.4698;Reit im Winkl;Bayern
6093;20040501;20240423;62;53.2139;10.4704;Wendisch Evern;Niedersachsen
6105;20040501;20240423;15;54.3194;9.8051;Ostenfeld (Rendsburg);Schleswig-Holstein
6109;20040901;20240423;52;53.3837;14.3728;Grambow-Schwennenz;Mecklenburg-Vorpommern
6129;20041101;20240423;291;51.0594;14.4266;Sohland/Spree;Sachsen
6157;20071001;20240423;4;53.6411;8.0809;Wangerland-Hooksiel;Niedersachsen
6158;20041101;20240423;454;49.2249;10.6085;Weidenbach-Weiherschneidbach;Bayern
6159;20081201;20240423;8;52.9542;7.3197;Dörpen;Niedersachsen
6163;20010401;20240423;27;54.1654;10.3519;Dörnick;Schleswig-Holstein
6170;20040601;20240423;39;52.0192;14.7254;Coschen;Brandenburg
6182;20000401;20120327;404;48.7757;12.1743;Mallersdorf-Pfaffenberg;Bayern
6184;20020101;20090615;6;53.5333;8.1667;Wilhelmshaven (Flugplatz);Niedersachsen
6186;20040801;20190527;268;50.1989;7.8651;Nastätten;Rheinland-Pfalz
6192;19990801;20081101;115;49.8083;7.8458;Münster am Stein, Bad;Rheinland-Pfalz
6197;20020101;20240423;258;51.8664;9.271;Lügde-Paenbruch;Nordrhein-Westfalen
6199;20041001;20240423;17;54.2484;13.0419;Steinhagen-Negast;Mecklenburg-Vorpommern
6217;20041001;20240423;190;49.2406;6.9351;Saarbrücken-Burbach;Saarland
6242;20020107;20210701;64;50.4088;7.489;Mülheim-Kärlich;Rheinland-Pfalz
6243;20020101;20240423;96;49.2506;8.4422;Philippsburg KKW;Baden-Württemberg
6244;20020101;20240423;145;49.365;9.0804;Obrigheim;Baden-Württemberg
6245;20020101;20240423;180;49.0423;9.1733;Neckarwestheim KKW;Baden-Württemberg
6246;20020103;20240423;368;47.6213;8.2167;Waldshut KKW;Baden-Württemberg
6247;20020101;20240423;307;47.6078;8.1813;Dogern (Leibstadt);Baden-Württemberg
6254;20020101;20070702;19;53.5408;9.9528;Hamburg-Lotsenhöft;Hamburg
6255;20020107;20181231;351;49.4667;6.3968;Perl/Saar;Saarland
6256;20020101;20240423;201;47.91;7.5838;Bremgarten (Fessenheim);Baden-Württemberg
6258;20030101;20240423;461;47.6845;9.4409;Friedrichshafen-Unterraderach;Baden-Württemberg
6259;20040601;20240423;524;49.021;9.6033;Großerlach-Mannenweiler;Baden-Württemberg
6260;20021201;20240423;381;49.3328;9.704;Ingelfingen-Stachenhausen;Baden-Württemberg
6262;20021101;20240423;412;48.7695;9.8737;Schwäbisch Gmünd-Weiler;Baden-Württemberg
6263;20040701;20240423;445;47.7738;8.8219;Singen;Baden-Württemberg
6264;20040601;20240423;457;51.414;8.65;Brilon-Thülen;Nordrhein-Westfalen
6265;20040501;20240423;36;52.3613;12.3867;Wusterwitz;Brandenburg
6266;20040901;20240423;112;52.0304;10.9626;Huy-Pabstorf;Sachsen-Anhalt
6272;20041001;20240423;284;50.8426;10.2518;Salzungen, Bad-Gräfen-Nitzendorf;Thüringen
6273;20040601;20240423;36;52.5075;11.8551;Demker;Sachsen-Anhalt
6275;20040701;20240423;327;48.6705;9.4627;Notzingen;Baden-Württemberg
6305;20041201;20240423;193;51.2061;10.4978;Mühlhausen/Thüringen-Görmar;Thüringen
6310;20040801;20240423;1;54.1049;13.8239;Karlshagen;Mecklenburg-Vorpommern
6312;20041101;20200930;362;49.5314;10.6418;Markt Erlbach-Mosbach;Bayern
6314;20050801;20240423;306;51.0507;13.3003;Nossen;Sachsen
6336;20051101;20240423;288;50.0132;9.654;Lohr/Main-Halsbach;Bayern
6337;20040801;20240423;59;51.7663;7.5194;Lüdinghausen-Brochtrup;Nordrhein-Westfalen
6344;20041201;20240423;168;50.394;8.1423;Runkel-Ennerich;Hessen
6346;20050201;20240423;531;48.207;11.2035;Maisach-Galgen;Bayern
6347;20050301;20240423;305;50.0579;10.2972;Schonungen-Mainberg;Bayern
7075;20050201;20240423;429;48.702;11.8493;Elsendorf-Horneck;Bayern
7099;20041101;20211004;187;52.0111;10.3966;Liebenburg-Othfresen;Niedersachsen
7105;20050601;20240423;719;47.835;12.6548;Siegsdorf-Höll;Bayern
7106;20060901;20240423;105;52.0714;8.4565;Bielefeld-Deppendorf;Nordrhein-Westfalen
7135;19750601;19960701;565;47.9655;9.6804;Aulendorf-Haslach;Baden-Württemberg
7187;20041201;20240423;194;49.7636;9.4063;Freudenberg/Main-Boxtal;Baden-Württemberg
7244;19810101;20040930;62;53.1424;13.0319;Neuglobsow (HM);Brandenburg
7298;20050701;20240423;4;54.5268;9.0425;Hattstedt;Schleswig-Holstein
7319;20050301;20240423;435;48.7374;10.7393;Donauwörth-Osterweiler;Bayern
7321;20050901;20240423;160;51.1507;11.3321;Olbersleben;Thüringen
7329;20051101;20240423;465;50.5467;12.2863;Treuen;Sachsen
7330;20051001;20240423;159;51.4633;7.978;Arnsberg-Neheim;Nordrhein-Westfalen
7331;20050901;20240423;467;48.6099;10.2674;Hermaringen-Allewind;Baden-Württemberg
7341;20050716;20240423;119;50.09;8.7862;Offenbach-Wetterpark;Hessen
7343;20060401;20240423;689;50.62;13.4817;Deutschneudorf-Brüderwiese;Sachsen
7350;20060801;20240423;585;49.1088;12.8231;Prackenbach-Neuhäusl;Bayern
7351;20050908;20240423;115;53.3176;13.4175;Feldberg/Mecklenburg;Mecklenburg-Vorpommern
7364;20070101;20240423;74;51.6818;12.3053;Jeßnitz;Sachsen-Anhalt
7367;20071201;20240423;144;51.9643;9.8072;Alfeld;Niedersachsen
7368;20071101;20240423;312;51.0007;10.3621;Eisenach;Thüringen
7369;20071101;20240423;475;49.1623;10.3661;Feuchtwangen-Heilbronn;Bayern
7370;20061211;20240423;499;49.391;12.6838;Waldmünchen;Bayern
7373;20060301;20240423;3;53.5984;6.7024;Borkum-Flugplatz;Niedersachsen
7374;20060301;20240423;46;52.0813;6.9409;Ahaus;Nordrhein-Westfalen
7389;20061201;20240423;83;52.7461;13.8427;Heckelberg;Brandenburg
7393;20100101;20240423;116;51.4492;14.2533;Hoyerswerda;Sachsen
7394;20060601;20240423;622;50.0315;11.9745;Wunsiedel-Schönbrunn;Bayern
7395;20071201;20240423;351;48.6595;12.5388;Gottfrieding;Bayern
7396;20080501;20240423;740;50.5084;9.2246;Hoherodskopf/Vogelsberg;Hessen
7403;20070330;20240423;672;47.7955;10.0325;Leutkirch-Herlazhofen;Baden-Württemberg
7410;20110201;20240423;350;50.7513;9.0224;Neu-Ulrichstein;Hessen
7412;20061001;20240423;340;50.0083;9.4238;Neuhütten/Spessart;Bayern
7419;20061201;20240423;389;50.661;12.0756;Langenwetzendorf-Göttendorf;Thüringen
7420;20070401;20240423;246;51.1044;11.7112;Naumburg/Saale-Kreipitzsch;Sachsen-Anhalt
7424;20061201;20240423;457;47.7724;12.9073;Piding;Bayern
7427;20070901;20240423;17;54.0188;9.9255;Padenstedt (Pony-Park);Schleswig-Holstein
7428;20070501;20240423;397;50.4167;10.8156;Veilsdorf;Thüringen
7431;20071101;20240423;604;48.013;11.5524;Oberhaching-Laufzorn;Bayern
7432;20070501;20240423;71;52.6423;10.6628;Wittingen-Vorhop;Niedersachsen
13667;20061123;20080706;274;48.0006;7.845;Freiburg-Mitte;Baden-Württemberg
13670;20070601;20240423;24;51.5088;6.7018;Duisburg-Baerl;Nordrhein-Westfalen
13674;20070801;20240423;237;49.2943;8.9053;Waibstadt;Baden-Württemberg
13675;20071101;20240423;75;52.0818;9.4077;Hameln-Hastenbeck;Niedersachsen
13696;20071201;20240423;60;51.5966;7.4048;Waltrop-Abdinghof;Nordrhein-Westfalen
13700;20080501;20240423;203;51.3329;7.3412;Gevelsberg-Oberbröking;Nordrhein-Westfalen
13710;20080401;20240423;490;48.5734;12.2576;Landshut-Reithof;Bayern
13711;20071201;20240423;289;50.682;11.515;Krölpa-Rockendorf;Thüringen
13713;20071101;20240423;386;51.0899;7.6289;Meinerzhagen-Redlendorf;Nordrhein-Westfalen
13776;20080301;20110104;85;52.1789;9.9524;Hildesheim-Drispenstedt;Niedersachsen
13777;20080601;20240423;109;52.2467;10.9592;Helmstedt-Emmerstedt;Niedersachsen
13904;20080915;20100426;3;55;6.3333;Nordseeboje 2;Hamburg
13965;20081201;20240423;619;48.2639;8.8134;Balingen-Bronnhaupten;Baden-Württemberg
14003;19610103;19920629;728;47.8619;10.6144;Kaufbeuren (Flugplatz);Bayern
15000;20110401;20240423;231;50.7983;6.0244;Aachen-Orsbach;Nordrhein-Westfalen
15207;20131101;20240423;317;51.2835;9.359;Schauenburg-Elgershausen;Hessen
15444;20140901;20240423;593;48.4418;9.9216;Ulm-Mähringen;Baden-Württemberg
15555;20160501;20240423;815;47.8761;10.5849;Kaufbeuren-Oberbeuren;Bayern
15813;20220301;20240423;40;52.5126;7.4131;Lingen-Baccum;Niedersachsen
19171;20200901;20240423;13;54.0039;9.8555;Hasenkrug-Hardebek;Schleswig-Holstein
19172;20200901;20240423;48;54.0246;9.388;Wacken;Schleswig-Holstein
19207;20230401;20240423;16;53.8178;12.0645;Gülzow-Prüzen;Mecklenburg-Vorpommern
11;19800901;20240423;680;47.9736;8.5205;Donaueschingen (Landeplatz);Baden-Württemberg
72;19780901;19950531;794;48.2766;9.0001;Albstadt-Onstmettingen;Baden-Württemberg
90;19880219;20240423;305;50.7557;9.2583;Alsfeld;Hessen
126;19791101;20101130;330;49.5447;10.2213;Uffenheim (Schulstr.);Bayern
176;19760601;19951130;481;49.2475;10.5826;Ansbach-Claffheim;Bayern
193;19790901;19871231;232;51.3845;9.082;Arolsen-Neu Berich;Hessen
197;19900801;20240423;365;51.3219;9.0558;Arolsen-Volkhardinghausen, Bad;Hessen
341;19680201;19930131;235;47.7277;7.552;Bellingen, Bad;Baden-Württemberg
594;19950101;20000301;425;48.6407;9.6136;Boll, Bad (KKst);Baden-Württemberg
619;19870501;20240423;12;53.5788;6.6703;Borkum-Süderstraße;Niedersachsen
634;19800301;19910331;373;49.4442;9.6458;Boxberg-Seehof;Baden-Württemberg
635;19800501;19900930;378;49.45;9.6333;Boxberg-Seehof (West);Baden-Württemberg
636;19811101;19910331;373;49.45;9.65;Boxberg-Seehof (Wind-3m);Baden-Württemberg
642;19810101;20240423;4;53.3518;8.4969;Brake;Niedersachsen
675;19800701;19880229;218;48.0333;7.6;Breisach-Eckartsberg;Baden-Württemberg
706;19690901;19920831;234;47.8858;7.6611;Eschbach;Baden-Württemberg
728;19810201;19861231;1016;48.8171;13.2176;Brotjacklriegel (UBA);Bayern
743;19750101;19980501;73;51.2;6.1333;Brüggen (Flugplatz);Nordrhein-Westfalen
748;19660101;20080930;5;53.8887;9.1411;Brunsbüttel (Schleuse);Schleswig-Holstein
781;19880101;19940331;221;51.6126;8.619;Bühren-Ahden;Nordrhein-Westfalen
788;19650101;20240423;3;54.1193;8.8584;Büsum;Schleswig-Holstein
829;19830502;19970831;479;50.396;8.5465;Butzbach-Bodenrod;Hessen
909;19860101;19931130;54;54.0551;10.2984;Damsdorf;Schleswig-Holstein
950;19850101;19930228;194;51.95;8.9;Detmold;Nordrhein-Westfalen
981;19820501;20011231;193;49.3531;6.749;Dillingen (Saar);Saarland
1010;19870401;20080923;5;52.9732;7.3209;Dörpen (Kläranlage);Niedersachsen
1011;19901011;20240423;442;49.6017;7.7413;Dörrmoschel-Felsbergerhof;Rheinland-Pfalz
1013;19800401;20240423;309;47.6026;8.1697;Dogern;Baden-Württemberg
1035;19931201;20001130;122;51.5206;7.6161;Dortmund-Wickede;Nordrhein-Westfalen
1126;19840401;19990130;117;49.96;8.64;Egelsbach;Hessen
1163;19761101;20070224;4;54.2667;8.85;Eidersperrwerk;Schleswig-Holstein
1261;19690101;19920731;460;48.3192;11.944;Erding;Bayern
1347;19800301;19870131;962;47.8555;8.1155;Feldberg-Altglashütten;Baden-Württemberg
1359;19820101;19921126;705;50.0242;11.2219;Fichtelberg/Ofr;Bayern
1379;19821201;20240423;41;54.7737;9.3753;Flensburg (Schäferhaus);Schleswig-Holstein
1415;19760601;19881231;100;50.0333;8.5333;Frankfurt (07W);Hessen
1416;19840401;19871231;97;50.0167;8.5333;Frankfurt (18W);Hessen
1422;19730801;19890430;114;50.0972;8.6936;Frankfurt (Henninger Turm);Hessen
1423;19720501;19871231;111;50.0496;8.5887;Frankfurt/Main (Terminal);Hessen
1467;19980101;20091231;736;48.4607;8.4141;Freudenstadt-Kurgarten;Baden-Württemberg
1505;19750101;20071031;222;51.1333;9.2833;Fritzlar-Kasseler Warte;Hessen
1672;19740101;19780630;19;51.6833;6.1667;Goch;Nordrhein-Westfalen
1689;19900701;19920630;441;49.7656;11.3062;Gößweinstein;Bayern
1831;19830901;20040827;1449;49.1129;13.1365;Großer Arber (Ost);Bayern
1874;19800401;19921124;320;51.8;10.2167;Grund, Bad (Erzbergwerk);Niedersachsen
1920;19790401;20030331;100;51.4129;7.4895;Hagen-Fley;Nordrhein-Westfalen
1922;19790101;19860228;111;51.3598;7.4717;Hagen (Stadtsparkasse);Nordrhein-Westfalen
1963;19690101;20240423;4;54.5742;8.5133;Hallig Hooge;Schleswig-Holstein
1987;19690101;19970331;47;53.5467;9.9662;Hamburg-Sankt Pauli;Hamburg
1993;19761201;20240423;68;52.0848;9.3896;Hameln;Niedersachsen
2055;19871113;20141228;292;50.0493;10.4947;Haßfurt;Bayern
2093;19690101;19820930;30;53.8562;9.8227;Heidmoor;Schleswig-Holstein
2100;20181201;20191117;4;54.186;7.9119;Helgoland-Düne;Schleswig-Holstein
2207;19740301;19781231;91;52.1833;9.95;Hildesheim (Flugplatz);Niedersachsen
2228;19790101;20041231;883;47.8983;8.1055;Hinterzarten;Baden-Württemberg
2253;19831001;19960731;10;54.7667;8.2833;Hörnum/Sylt;Schleswig-Holstein
2349;19891030;20240423;1138;48.6136;8.2033;Hornisgrinde;Baden-Württemberg
2377;19810101;20240423;362;47.7001;7.5895;Kandern-Gupf;Baden-Württemberg
2465;19810501;19901231;0;53.5083;9.7376;Jork-Moorende;Niedersachsen
2482;19781201;19800430;741;51.1806;8.49;Kahler Asten (A);Nordrhein-Westfalen
2493;19800101;19940531;2;54.4333;10.3667;Kalifornien;Schleswig-Holstein
2573;19870610;20240423;470;47.9588;12.7717;Waging am See-Schnöbling;Bayern
2757;19720101;19831231;238;47.9077;7.702;Krozingen, Bad;Baden-Württemberg
2758;19800701;19900630;202;47.9585;7.6578;Krozingen, Bad-Hausen;Baden-Württemberg
2798;19750101;19980531;32;51.6;6.15;Laarbruch;Nordrhein-Westfalen
2889;19710101;19781031;300;51.6323;10.4737;Lauterberg, Bad (A);Niedersachsen
2897;19900830;20240423;522;50.5808;9.2857;Lautertal-Hörgenau;Hessen
2906;19710101;19741031;5;54.775;8.9808;Leck (A);Schleswig-Holstein
2926;19710101;19891231;477;48.4333;10.2333;Leipheim (Flugplatz);Bayern
2954;19870401;20041228;990;47.8919;8.1788;Lenzkirch-Saig;Baden-Württemberg
3017;19840701;20100331;341;49.68;8.7823;Lindenfels;Hessen
3046;19800201;19910331;20;52.7333;7.7333;Löningen-Schnetlage;Niedersachsen
3096;19690101;19951231;444;51.2131;7.6359;Lüdenscheid (Zeppelin-Gymnasium);Nordrhein-Westfalen
3103;19761201;19971231;11;53.2657;10.424;Lüneburg;Niedersachsen
3138;19790101;19890216;200;49.9798;8.1668;Mainz-Finthen;Rheinland-Pfalz
3228;19810101;19970331;506;51.0976;7.667;Meinerzhagen (A);Nordrhein-Westfalen
3256;19850101;19891031;193;48.0167;7.6667;Merdingen;Baden-Württemberg
3300;19781201;19930531;155;50.2285;9.1064;Mittel-Gründau;Hessen
3369;19800101;20060315;42;53.6;10.4833;Mühlenrade;Schleswig-Holstein
3493;19800701;19900731;223;47.8333;7.5833;Neuenburg-Zinken;Baden-Württemberg
3518;19710101;19931231;793;47.976;8.9101;Neuhausen ob Eck;Baden-Württemberg
3534;19810301;20240423;584;49.2713;11.4881;Neumarkt-Höhenberg;Bayern
3542;19751101;19950531;271;49.35;7.1667;Neunkirchen/Saar;Saarland
3651;19920402;20240423;111;51.7521;9.945;Northeim-Stöckheim;Niedersachsen
3657;19830601;20150831;341;50.9081;7.5543;Nümbrecht auf dem Lindchen;Nordrhein-Westfalen
3661;19600101;19780331;307;49.45;11.0667;Nürnberg (Hochhaus);Bayern
3775;19780101;19981216;100;50.1029;8.7468;Offenbach/Main (Zentrallabor);Hessen
3905;19900829;20240423;407;49.5214;6.4476;Perl-Sinz-Renglischberg;Saarland
3921;19740601;19960430;396;49.85;7.6;Pferdsfeld;Rheinland-Pfalz
3954;19700701;19960930;26;54.1603;10.4345;Plön (Max-Planck-Institut);Schleswig-Holstein
